연번,지사,수행기관명,우편번호,주소,사업자등록번호,전화번호
1,서울지역본부,사단법인 노란들판,03086,"서울특별시 종로구 동숭길 25, 3층",101-82-21153,02-6925-7103
2,서울지역본부,(사)서울장애인부모연대 종로지회,03025,"서울특별시 종로구 통일로 246-20, 101동 108호",101-82-20979,02-6956-4480
3,서울지역본부,은평장애인자립생활센터,03336,"서울특별시 은평구 연서로 149, 갈현베르빌 112호",110-82-70207,02-374-0818
4,서울지역본부,사단법인 장애인의 길벗,04589,"서울특별시 중구 다산로 172, 3층",224-82-17025,02-2135-9056
5,서울지역본부,(사)한국농아인협회 서울특별시협회,03751,"서울특별시 서대문구 경기대로 15, 3층",106-82-05065,02-323-4996
6,서울지역본부,사단법인 한국장애인고용안정협회 서울특별시지부,04207,서울특별시 마포구 마포대로 14가길 19,731-82-00473,02-6497-6600
7,서울지역본부,(사)한국장애인직업재활시설협회(서울),04147,"서울특별시 마포구 백범로 31길 21, 7층",106-82-13871,02-482-8175
8,서울지역본부,사단법인 비하인드유,03095,"서울특별시 종로구 지봉로 81, 2층 202호",759-82-00281,070-4161-7058
9,서울남부지사,한국장애인식개선교육센터 사회적협동조합,08592,"서울시 금천구 가산디지털1로 75-24, 1510호(가산동 아이에스비즈타워)",495-82-00198,1544-6669
10,서울남부지사,사단법인 함께하는 나눔과이음,07604,"서울시 강서구 방화동로 126, 지하 B01호",260-82-00326,02-2663-0896
11,서울남부지사,(사)모두누리,08381,"서울시 구로구 디지털로 27길 24, 1층 102-1호(구로동, 벽산디지털밸리1차)",734-82-00147,02-868-8295
12,서울남부지사,실로암시각장애인복지관,08757,서울시 관악구 남부순환로 1717,112-82-06429,02-880-0500
13,서울남부지사,사단법인 윌,07055,"서울시 동작구 상도로 36, 2층 201호 (대방동, 골든노블레스)",609-82-19637,02-812-2538
14,서울남부지사,(사)한국장애인표준사업장협회,07275,"서울시 영등포구 영등포로 5길 19, 813호(동아프라임밸리)",123-82-14332,02-2632-6720
15,서울남부지사,나눔장애인자립생활센터,08302,"서울시 구로구 가마산로286, SR친오애 405호",119-82-79544,02-866-0233
16,서울남부지사,강서퍼스트잡지원센터 사회적협동조합,07802,"서울시 강서구 마곡동로 3길 6, 403호",650-82-00460,02-3664-6301
17,서울남부지사,(사)한국장애인부모회,07236,"서울시 영등포구 의사당대로 22, 이룸센터 603호",114-82-04316,02-2678-3131
18,서울남부지사,(사)장애와사회,08087,"서울시 양천구 신월로 354, 502호(신정동, 세원빌딩)",117-82-05352,02-2697-0420
19,서울남부지사,(사)한국척수장애인협회,07236,"서울시 영등포구 의사당대로 22, 이룸센터 604호",416-82-16339,02-786-8483
20,서울남부지사,구로조은장애인자립생활센터,08381,"서울시 구로구 디지털로 271, 208호(벽산디지털밸리3차)",113-82-66435,02-2612-3391
21,서울남부지사,영등포장애인자립생활센터,07266,"서울시 영등포구 영등포로 147, 당산빌딩 B1 114호",117-80-16739,02-6953-3053
22,서울남부지사,(사)한국장애인고용안정협회,07236,서울시 영등포구 의사당대로 22 이룸센터 404호 ,106-82-10684,02-754-7755
23,서울동부지사,(사)장애인의양지누림,05292,서울특별시 강동구 구천면로 424 302호,710-82-00383,02-441-9664
24,서울동부지사,(사)지에스시,05744,"서울특별시 송파구 오금로489, 영진타워 602호",204-82-11750,02-6959-4768
25,서울동부지사,(사)해냄복지회,06242,"서울특별시 강남구 역삼로3길 7, 711호",211-82-16506,070-4395-5042
26,서울동부지사,(사)장애인사회연구소,06714,서울특별시 서초구 남부순환로2335 옥스포드빌딩 3층,126-82-20570,02-599-0420
27,서울동부지사,(사)한국척수장애인협회 서울특별시협회,06771,"서울특별시 서초구 매헌로 16, 6138~6139호",107-82-12007,02-786-8485
28,서울동부지사,커리어플러스센터,06278,서울특별시 강남구 도곡로 416 5층,641-82-00151,02-499-8722
29,서울북부지사,신세계중랑장애인자립생활센터,02148,서울특별시 중랑구 망우로 316,204-82-78921,02-2207-1072
30,서울북부지사,사단법인 한국근육장애인협회,05116,서울특별시 광진구 광나루로56길 85,612-82-23461,02-2654-4399
31,서울북부지사,사단법인 성북구장애인단체연합회,02736,서울특별시 성북구 오패산로3길 95,773-82-00195,02-912-5990
32,서울북부지사,광진나눔장애인자립생활센터,04991,서울특별시 광진구 자양로 209,206-82-74300,02-454-8119
33,서울북부지사,도봉노적성해장애인자립생활센터,01322,서울특별시 도봉구 도봉로164길 33-25,206-82-66853,02-455-2887
34,서울북부지사,성동장애인자립생활센터,04749,서울특별시 성동구 고산자로 320,206-80-05944,02-6214-3525
35,서울북부지사,새날동대문장애인자립생활센터,02629,서울특별시 동대문구 장한로 43,204-82-69572,02-959-5603
36,강원지사,원주시장애인종합복지관,26452,강원특별자치도 원주시 동부순환로 9-8,708-82-00172,033-766-5990
37,강원지사,사단법인 강원특별자치도시각장애인연합회,24209,"강원특별자치도 춘천시 동면 소양강로 110, 1층 ",670-82-00334,033-262-1996
38,강원지사,사단법인 한국지체장애인협회 강원특별자치도지체장애인협회,24209,"강원특별자치도 춘천시 동면 소양강로 110, 3층",221-82-06650,033-262-1211
39,강원지사,온새미사회적협동조합,26441,"강원특별자치도 원주시 남원로 583, 6층",224-82-06403,033-732-4100
40,강원지사,사단법인 한국척수장애인협회 강원특별자치도협회,25428,강원특별자치도 강릉시 연곡면 진고개로 2714,226-82-13141,033-648-8483
41,강원지사,사단법인 빛과꿈터 일과사랑,26349,강원특별자치도 원주시 호저면 쉬고개길 157,427-82-00050,033-731-5340
42,강원지사,사단법인 강원특별자치도 지적장애인협회,24213,"강원특별자치도 춘천시 동면 춘천순환로 422, 3층",588-82-00490,033-263-5466
43,부산지역본부,금정장애인자립생활센터,46278,"부산시 금정구 중앙대로 1675, 우신빌딩 2층",621-82-65878,051-582-3334
44,부산지역본부,(사)한국시각장애인연합회 부산광역시 부산진구지회,47206,"부산광역시 부산진구 동평로 350, 507호(양정동)",321-82-00034,051-853-0444
45,부산지역본부,(사)참아름다워라일터,48732,"부산광역시 동구 중앙대로236번길 13-5, 3층(초량동)",602-82-07237,051-465-3100
46,부산지역본부,부산장애인자립생활센터,46527,"부산광역시 북구 화명신도시로 117, 8층(화명동)",606-82-07485,051-911-4007
47,부산지역본부,부산어울림장애인자립생활센터,49462,"부산광역시 사하구 을숙도대로 660, 4층(장림동)",122-82-79972,051-265-5585
